episode_record_idx,global_step,rooms_visited,episodic_return,episodic_length,gap_steps_since_prev_multiroom,gap_episodes_since_prev_multiroom
35112,19775360,4,400,844,9344,11
35122,19791104,4,400,846,15744,10
35132,19808192,2,400,1183,17088,10
35138,19812352,4,400,1665,4160,6
35142,19817184,4,400,1135,4832,4
35144,19819296,4,400,1260,2112,2
35147,19822432,4,400,519,3136,3
35149,19823616,4,400,1556,1184,2
35152,19829632,2,400,546,6016,3
35167,19848320,2,400,766,18688,15
35184,19867552,4,400,523,19232,17
35187,19870368,2,400,689,2816,3
35192,19877984,2,400,635,7616,5
35194,19881600,4,400,1097,3616,2
35205,19895904,4,400,677,14304,11
35206,19899104,4,400,846,3200,1
35207,19900224,2,400,3211,1120,1
35208,19901760,4,400,629,1536,1
35218,19910208,4,400,712,8448,10
35224,19922208,2,400,638,12000,6
35243,19939488,4,400,966,17280,19
35244,19941088,4,400,560,1600,1
35249,19950656,2,400,854,9568,5
35256,19959520,4,400,779,8864,7
35257,19959744,4,400,648,224,1
35262,19962976,2,400,733,3232,5
35273,19976896,2,400,1241,13920,11
35277,19979168,2,400,787,2272,4
35281,19984000,4,400,650,4832,4
35288,19990944,2,400,873,6944,7
35290,19992672,2,400,807,1728,2
